Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable
Mme,Felianne,Fernandez,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA92969,DELL,17/11/1992,0122223912,0655605121
M.,Ravi,Martin,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA44820,DELL,27/04/2000,0158410241,0685102390
Mme,Salma,Singh,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA58693,DELL,18/03/1995,0112550362,0763025412
M.,Aurelien,Brunet,BillU,Paris,Communication et Relations publiques,Relation Médias,Responsable relation média,Noémie,Leloir,PA68867,DELL,12/03/1985,0114409115,0778858220
Mme,Noémie,Leloir,BillU,Paris,Communication et Relations publiques,,Directrice Communication et Relations publiques,Camille,Martin,PA68385,DELL,14/11/1994,0165300831,0628752957
Mme,Irène,Idr-Bongo,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Avocat,Fauve,Hôlth,-,-,-,0142995102,-
M.,Serge,Kalfandier,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Avocat,Fauve,Hôlth,-,-,-,0187569924,-
Mme,Amina,Diallo,BillU,Paris,Département Juridique,Droit des sociétés,Juriste,Fauve,Hôlth,PA52039,,,,-
M.,Jérémie,Allert,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Juriste,Fauve,Hôlth,-,-,-,0123954236,-
M.,Luca,Rossi,BillU,Paris,Département Juridique,Droit des sociétés,Juriste,Fauve,Hôlth,PA04236,,,,-
Mme,Nadia,Culcùu,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Juriste,Fauve,Hôlth,-,-,-,0168235541,-
Mme,Faustine,Denis,BillU,Paris,Département Juridique,Propriété intellectuelle,Juriste,Fauve,Hôlth,PA51856,HP,15/03/1983,0102226399,-
Mme,Hélène,Cault,BillU,Paris,Département Juridique,Propriété intellectuelle,Juriste,Fauve,Hôlth,PA26363,LENOVO,30/06/1985,0155916179,-
M.,Kenji,Tanaka,BillU,Paris,Département Juridique,Propriété intellectuelle,Juriste,Fauve,Hôlth,PA05632,HP,17/10/2001,0187436250,-
Mme,Yara,Haddad,BillU,Paris,Département Juridique,Propriété intellectuelle,Juriste,Fauve,Hôlth,PA74362,HP,04/06/1982,0122369523,-
M.,Diego,Fernandez,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,PA99523,DELL,19/03/1987,0132005698,-
Mme,Fatou,Ba,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,PA46325,LENOVO,13/03/1984,0136923365,-
M.,Remi,Advezekt,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,PA12540,LENOVO,28/05/1997,0488168544,-
M.,Robin,Bourgeois,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,PA33490,HP,17/07/1997,0130797419,-
M.,Yann,Boyer,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,PA48690,LENOVO,30/03/1992,0198705216,-
Mme,Fauve,Hôlth,BillU,Paris,Département Juridique,,Directeur juridique,Camille,Martin,PA87056,LENOVO,08/01/1988,0169521011,0757881221
M.,Adam,Thomas,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA43813,TOSHIBA,03/03/1993,-,-
Mme,Charlotte,Giroux,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA99876,LENOVO,14/12/1998,-,-
M.,Felix,Hoffmann,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA41987,HP,26/08/1987,-,-
M.,Florent,Houssay,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA90613,HP,12/10/1993,-,-
M.,Jéremy,Martelant,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA23575,LENOVO,30/06/1989,-,-
M.,Luca,Duval,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA18845,LENOVO,25/09/1987,-,-
Mme,Nadège,Rouiller,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA36514,LENOVO,05/12/1983,-,-
M.,Oscar,Gautier,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA72016,HP,15/06/1990,-,-
M.,Sacha,Sacha-David,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA31686,HP,13/08/1991,-,-
Mme,Stéphanie,Le Kerbriault,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA42543,TOSHIBA,17/03/1983,-,-
M.,William,Lemaire,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA45623,LENOVO,10/08/1998,-,-
M.,Wilfried,José,BillU,Paris,Développement logiciel,analyse et conception,Responsable analyse et conception,Sofia,Rossi,PA14433,LENOVO,29/06/1987,0188064257,0773629374
M.,Aarav,Gupta,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA24630,HP,30/06/1994,-,-
M.,Abdou,Selim,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48935,HP,17/06/1995,-,-
Mme,Amara,Papadopoulos,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48934,LENOVO,03/03/1979,-,-
Mme,Amélie,Blanchet,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA21577,TOSHIBA,08/08/2001,-,-
Mme,Amélie,Fournier,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA60728,DELL,22/07/1987,-,-
Mme,Amira,El-Mahdi,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA55201,TOSHIBA,29/07/1996,-,-
Mme,Anya,Yamada,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48940,HP,05/05/1993,-,-
M.,Arjun,Patel,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA40065,DELL,03/06/2001,-,-
Mme,Aurélie,Yosef,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA23575,DELL,23/08/1990,-,-
Mme,Aya,Benali,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA77535,DELL,29/10/1987,-,-
M.,Benjamin,Schmitt,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA33002,DELL,10/01/1986,-,-
Mme,Carla,Pelcaut,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA77321,DELL,07/12/1988,-,-
Mme,Chloé,Recteur,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA69037,HP,01/06/1993,-,-
Mme,Clara,Garcia,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48530,LENOVO,25/12/1993,-,-
M.,David,Vidal,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA59874,TOSHIBA,16/12/1985,-,-
M.,Dmitri,Ivanov,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA75404,DELL,13/09/1996,-,-
Mme,Elena,Romero,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48936,HP,29/10/1988,-,-
M.,Emilien,Gerot,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA51163,LENOVO,31/07/1999,-,-
Mme,Emma,Leclerc,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA19161,LENOVO,06/09/1986,-,-
Mme,Emmanuelle,Le Doux,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA95467,DELL,31/10/1982,-,-
M.,Eshan,Khan,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA34827,TOSHIBA,30/01/1994,-,-
M.,Etienne,Legrand,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA86254,HP,02/03/2000,-,-
M.,Fabio,Romano,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA90927,HP,13/08/1995,-,-
Mme,Fergie,Lork,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA79446,TOSHIBA,26/07/1996,-,-
M.,Giovanni,Moretti,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA45337,TOSHIBA,16/01/1995,-,-
Mme,Giulia,Belhaj,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48945,HP,19/05/1987,-,-
M.,Guillaume,Pierre,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA74884,DELL,04/09/2001,-,-
Mme,Hamza,Amari,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA10427,,28/10/1993,-,-
M.,Hao,Wang,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA70346,DELL,19/07/1984,-,-
M.,Henri,Lambert,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA85194,HP,06/08/1997,-,-
M.,Hiroshi,Sow,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48941,LENOVO,11/02/2001,-,-
M.,Ibrahim,Mansouri,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48948,HP,08/06/1996,-,-
Mme,Ines,Dupont,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA62916,LENOVO,10/10/1997,-,-
Mme,Jaxon,Dicker Brown,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA78780,DELL,04/02/1995,-,-
M.,Jean,Rolland,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA43813,DELL,16/03/1997,-,-
M.,Jin,Diop,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48933,HP,25/11/1991,-,-
Mme,Julia,Schneider,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA43252,DELL,02/09/1997,-,-
M.,Kaito,Takahashi,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA92121,LENOVO,04/12/1996,-,-
M.,Kevin,Dumont,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA32275,DELL,27/10/1986,-,-
M.,Killian,Masson,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA34551,LENOVO,06/10/2000,-,-
M.,Klaus,Becker,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA52587,LENOVO,18/07/2000,-,-
Mme,Lina,Müller,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA25185,DELL,02/10/1992,-,-
M.,Luc,Martin,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA94045,TOSHIBA,23/06/1995,-,-
Mme,Lucia,Kimura,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48938,LENOVO,14/04/1990,-,-
M.,Malik,Belkacem,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48942,HP,30/07/1980,-,-
M.,Martin,Nguyen,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA57906,DELL,18/07/1998,-,-
M.,Matteo,Ferrari,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA96975,DELL,23/04/1999,-,-
Mme,Mia,Johnson,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA67552,DELL,07/02/1992,-,-
M.,Miguel,Hernandez,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA52831,DELL,12/06/1982,-,-
M.,Mohammed,Elbaz,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48939,DELL,22/09/1985,-,-
M.,Morgan,O'Flaherty,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA36514,DELL,22/10/1983,-,-
Mme,Nora,O'Sullivan,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA12745,DELL,15/01/1988,-,-
M.,Norman,Robin,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA57512,HP,23/09/1993,-,-
Mme,Noura,Habib,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48943,HP,09/12/1998,-,-
Mme,Rafaella,Martinez,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA99298,DELL,30/04/1993,-,-
M.,Raj,Traoré,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48947,HP,16/10/1978,-,-
M.,Sacha,Lopez,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA19651,LENOVO,10/10/1997,-,-
M.,Samuel,Clement,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA45337,DELL,07/01/1992,-,-
Mme,Sara,Besnheard,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA15299,HP,04/09/1988,-,-
Mme,Sara,Nakamura,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48949,LENOVO,04/04/1982,-,-
M.,Seamus,O'Connor,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48799,HP,24/07/1987,-,-
M.,Sébastien,Durand,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA27630,DELL,25/11/1993,-,-
M.,Simon,Gauthier,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA28156,HP,01/11/1992,-,-
M.,Tarek,Ibrahimovic,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48937,LENOVO,07/01/1976,-,-
M.,Tenzin,Li,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48932,DELL,12/08/1983,-,-
M.,Théo,Durand,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48950,LENOVO,21/01/1992,-,-
M.,Tristan,Fontaine,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA96447,DELL,25/02/1988,-,-
M.,Tristan,Le Petit,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA74440,HP,14/10/1986,-,-
M.,Victor,Chevalier,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA32765,DELL,20/06/1983,-,-
M.,Vincent,Gerard,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA52948,LENOVO,18/09/1988,-,-
Mme,Yara,Abadi,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA58412,LENOVO,11/08/1985,-,-
M.,Yiannis,Papadopoulos,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA57679,TOSHIBA,27/04/1991,-,-
M.,Yohan,Pillet,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA83956,DELL,26/12/1998,-,-
M.,Youssef,Al-Masri,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA51530,HP,29/06/1983,-,-
M.,Youssef,Ricci,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48944,DELL,01/01/1975,-,-
Mme,Zineb,Verma,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA48946,LENOVO,27/03/1994,-,-
Mme,Zoe,Smith,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA53861,DELL,19/06/1998,-,-
M.,Florian,Rellay,BillU,Paris,Développement logiciel,Développement,Responsable developpement,Sofia,Rossi,PA33002,TOSHIBA,17/05/1991,0126036632,0749534624
Mme,Isabel,Gomez,BillU,Paris,Développement logiciel,Recherche et Prototype,Développeur,Niko,Gruber,PA21386,HP,23/06/1984,0158890916,0601928581
M.,Julien,Le Karadec-Hyacyne,BillU,Paris,Développement logiciel,Recherche et Prototype,Développeur,Niko,Gruber,PA67334,LENOVO,10/12/2001,0182968579,0714669952
Mme,Sophie,Mercier--Le-Coutourd,BillU,Paris,Développement logiciel,Recherche et Prototype,Développeur,Niko,Gruber,PA27339,HP,11/03/1992,0138775905,0704209714
M.,Niko,Gruber,BillU,Paris,Développement logiciel,Recherche et Prototype,Responsable Recherche,Sofia,Rossi,PA82471,HP,17/11/1993,0148808015,0653178244
Mme,Angéline,Lefaivre,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA21358,LENOVO,04/06/1999,-,-
Mme,Camille,Bôrner,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA46875,LENOVO,07/06/2000,-,-
Mme,Eva,Simonet,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA81191,LENOVO,20/01/1994,-,-
M.,Guido,Bianchi,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA27339,LENOVO,25/09/1983,-,-
Mme,Laura,Lemeunier,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA46875,HP,30/04/2001,-,-
M.,Léo,Dubois,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA84928,LENOVO,07/12/1997,-,-
Mme,Marie,Dufour,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA72687,LENOVO,22/05/2000,-,-
M.,Maximilian,Wagner,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA53201,HP,29/11/1984,-,-
M.,Niamh,Fitzpatrick,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA31784,TOSHIBA,11/04/1987,-,-
Mme,Nina,Ledoux,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA31356,LENOVO,21/04/1998,-,-
M.,Olivetti,Del Roy,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA78411,HP,20/03/1989,-,-
M.,Tariq,Aziz,BillU,Paris,Développement logiciel,Tests et qualité,Développeur,Elena,Sánchez,PA31010,LENOVO,12/03/1989,-,-
Mme,Elena,Sánchez,BillU,Paris,Développement logiciel,Tests et qualité,Responsable test et qualité,Sofia,Rossi,PA83940,LENOVO,23/12/1986,0107161739,0628631838
M.,Esteban,Gonzàlez,2Face,Paris,Développement logiciel,Tests et qualité,Testeur,Elena,Sánchez,-,-,-,-,-
M.,Fabien,Hy-D’Jykov,2Face,Paris,Développement logiciel,Tests et qualité,Testeur,Elena,Sánchez,-,-,-,0177322131,0619087602
M.,Fabien,Lecointre,2Face,Paris,Développement logiciel,Tests et qualité,Testeur,Elena,Sánchez,-,-,-,-,-
Mme,Héléna,Kusmérowa,2Face,Paris,Développement logiciel,Tests et qualité,Testeur,Elena,Sánchez,-,-,-,-,-
M.,Rémy,Leriche,2Face,Paris,Développement logiciel,Tests et qualité,Testeur,Elena,Sánchez,-,-,-,-,-
Mme,Sofia,Rossi,BillU,Paris,Développement logiciel,,Directeur Développement logiciel,Camille,Martin,PA93655,TOSHIBA,21/09/1998,0185544131,0730413931
M.,Ismail,Aloui,BillU,Paris,Direction,,Assistant de direction,Camille,Martin,PA44025,DELL,11/07/1994,0169526844,0799523610
Mme,Kim,Park,BillU,Paris,Direction,,Assistant de direction,Camille,Martin,PA204692,DELL,29/08/1997,0169523302,0695330569
M.,Léonard,Dubois,BillU,Paris,Direction,,Assistant de direction,Camille,Martin,PA75792,TOSHIBA,12/12/1998,0112092812,0757172438
Mme,Naomi,Yamamoto,BillU,Paris,Direction,,Assistant de direction,Camille,Martin,PA441236,DELL,02/01/2001,0187446290,0677452036
Mme,Camille,Martin,BillU,Paris,Direction,,CEO,-,,PA12959,TOSHIBA,09/05/1985,0160409379,0653791741
M.,Alexis,Bernard,BillU,Paris,Direction,,Directeur adjoint,Camille,Martin,PA89346,DELL,13/08/1997,0187246457,0738812832
M.,Alan,Meunier,BillU,Paris,DSI,Administration Systèmes et Réseaux,Technicien réseaux,Anthony,Noel,PA21577,DELL,02/08/1995,0194124692,0687340310
M.,Mathis,Mercier,BillU,Paris,DSI,Administration Systèmes et Réseaux,Technicien réseaux,Anthony,Noel,PA30819,DELL,21/08/1993,0466874640,0745093669
Mme,Marie,Meyer,BillU,Paris,DSI,Administration Systèmes et Réseaux,Technicien Systèmes,Anthony,Noel,PA33490,DELL,27/12/1997,0134344137,0717065142
Mme,Juliette,Roux,BillU,Paris,DSI,Développement et Intégration,Développeur,Anthony,Noel,PA73994,DELL,30/05/1985,0134118694,0665692415
Mme,Juliette,Roy,BillU,Paris,DSI,Développement et Intégration,Développeur,Anthony,Noel,PA83956,DELL,12/11/1991,0104199164,0637045158
M.,Romain,Vincent,BillU,Paris,DSI,Développement et Intégration,Intégrateur,Anthony,Noel,PA52103,DELL,30/08/1987,0192883550,0770092044
M.,Aaron,Roche,BillU,Paris,DSI,Exploitation,Technicien d'exploitation,Anthony,Noel,PA76820,DELL,20/10/2001,0400609816,0673124437
M.,Bryan,Perez,BillU,Paris,DSI,Exploitation,Technicien d'exploitation,Anthony,Noel,PA78323,DELL,22/05/1993,0131204687,0664331983
Mme,Ines,Roger,BillU,Paris,DSI,Exploitation,Technicien de maintenance,Anthony,Noel,PA69442,DELL,13/12/1997,0490987479,0617155871
M.,Julien,Duran,BillU,Paris,DSI,Exploitation,Technicien de maintenance,Anthony,Noel,PA84572,DELL,01/05/1989,0137916836,0704153936
M.,Tom,Morel,BillU,Paris,DSI,Support,Hotliner,Anthony,Noel,PA32765,DELL,31/03/2001,0181640031,0666489658
M.,Anthony,Noel,BillU,Paris,DSI,,Directeur des systèmes d'information,Camille,Martin,PA85785,DELL,31/10/1990,0174752256,0663073894
M.,Alex,Barbier,BillU,Paris,Finance et Comptabilité,Finance,Analyste financier,Yacine,Hamad,PA34551,TOSHIBA,21/10/1992,0153906457,-
M.,Ali,Khan,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Yacine,Hamad,PA68870,HP,08/10/2000,0196036547,-
M.,Matteo,Simon,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Yacine,Hamad,PA57512,HP,28/11/1986,0175097244,-
M.,Mikhail,Petrov,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Yacine,Hamad,PA68868,TOSHIBA,24/09/1981,0112369506,-
Mme,Noémie,Andre,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Yacine,Hamad,PA12959,TOSHIBA,05/05/1995,0109401276,-
Mme,Sofia,Moreau,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Yacine,Hamad,PA68869,HP,01/10/1985,0166520394,-
M.,Yacine,Hamad,BillU,Paris,Finance et Comptabilité,Finance,Directeur financier,Camille,Martin,PA68867,HP,18/10/1992,0154314543,0648462640
M.,Quentin,Bertrand,BillU,Paris,Finance et Comptabilité,Fiscalité,Conseiller en fiscalité,Yacine,Hamad,PA31320,LENOVO,22/08/1982,0483436266,-
M.,Maël,Laurent,BillU,Paris,Finance et Comptabilité,Service Comptabilité,Comptable,Yacine,Hamad,PA30790,HP,14/08/1987,0157784039,-
Mme,Manon,Brun,BillU,Paris,Finance et Comptabilité,Service Comptabilité,Comptable,Yacine,Hamad,PA68447,LENOVO,11/06/1998,0460954183,-
M.,Maxime,Lefebvre,BillU,Paris,Finance et Comptabilité,Service Comptabilité,Comptable,Yacine,Hamad,PA56314,DELL,26/05/2000,0107939301,-
Mme,Louise,Richard,BillU,Paris,QHSE,Certification,Auditeur,Arielle,Leroy,PA81191,LENOVO,29/05/1990,0159009944,0762598012
M.,Lucas,Moraud,BillU,Paris,QHSE,Contrôle Qualité,Animateur sécurité,Arielle,Leroy,PA26363,LENOVO,28/08/1998,0108552477,0765920369
Mme,Arielle,Leroy,BillU,Paris,QHSE,Contrôle Qualité,Responsable QHSE,Camille,Martin,PA53466,TOSHIBA,14/08/1993,0187941494,0718694265
Mme,Anjali,Kapoor,BillU,Paris,QHSE,Gestion environnementale,Technicien HSE,Arielle,Leroy,PA26364,LENOVO,15/05/1989,0155239480,-
M.,David,Cohen,BillU,Paris,QHSE,Gestion environnementale,Technicien HSE,Arielle,Leroy,PA26365,LENOVO,28/09/2001,0132663940,-
M.,Enzo,Petit,BillU,Paris,QHSE,Gestion environnementale,Technicien HSE,Arielle,Leroy,PA74987,LENOVO,24/10/1998,0171818675,-
M.,Arnoovik,Jlecht,BillU,Paris,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA16353,DELL,19/11/2001,0124045383,0763236659
Mme,Jade,Lefèvre,BillU,Paris,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA64810,DELL,16/11/1984,0180183734,0621673896
Mme,Latifa,Jean-Robert De Boisselier,BillU,Paris,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA46917,DELL,02/09/1990,0114930105,0739063477
Mme,Pauline,Lambert-Ilo,BillU,Paris,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA37602,DELL,10/11/1987,0158406170,0606722898
